Абрикос Apricot 
Геодезист Land surveyor
Головокружение Vertigo
Грабли Rake
Грозный Formidable
Громкость Volume
Грузить Load
Губка Sponge
Действовать Act
Детство Childhood
Динамик Speaker
Долгий Long
Должны Have
Достойный Worthy
Дуть Blow
Дух Spirit
Жаворонок Lark
Жаркое Roast
Жевать Chew
Жених Groom
Жестоко Severely
Журавль Crane
Заваривать Brew
Зависимость Dependence
Задумчивый Thoughtful
Заклинание Spell
Закрытие Closing
Заместитель Deputy
Замечательно Remarkably
Замечательный Wonderful
Замечать Notice
Запад West
Запонка Stud
Запущен Launched
Заснуть Fall asleep
Застрявший Stuck
Засуха Drought
Зачет Offset
Защищать Protect
Здоровый Healthy
Зевать Yawn
Знамя Banner
Идеальный Ideal
Извлекать Extract
Измерять Measure
Иллюминатор Porthole
Инжир Fig
Ириска Toffee
Ископаемое Fossil
Исследователь Researcher
Кавалер Cavalier
Капитель Capital
Каракули Scribbles
Кеды Sneakers
Кекс Cake
Кета Chum
Кивать Nod
Кисточка Tassel
Командировка Business trip
Конечность Limb
Коротко Briefly
Костыли Crutches
Котёл Boiler
Красть Steal
Кратко Briefly
Краткосрочный Short-term
Крупа Grain
Крючок Hook
Кузен Cousin
Купленный Bought
Купон Coupon
Куропатка Partridge
Лазанья Lasagna
Лебёдка Winch
Лекция Lecture
Лентяй Idler
Липа Lime
Липучка Velcro
Лихорадочный Feverish
Лишать Deprive
Лодырь Slacker
Ложный False
Любопытный Curious
Маляр Painter
Марш March
Масштабируемость Scalability
Меньшинство Minority
Металл Metal
Мешок Bag
Мидия Mussel
Милостыня Charity
Министерство Ministry
Мирской Worldly
Модель Model
Модный Trendy
Мокасины Moccasins
Молитва Prayer
Моряк Sailor
Мочалка Batch sponge
Мышление Thinking
Наблюдатель Observer
Нагрузка Load
Нафталин Naphthalene
Нахальный Cheeky
Начинание Undertaking
Начинаться Begin
Небоскрёб Skyscraper
Недовольный Dissatisfied
Недооценивать Underestimate
Незамужняя Unmarried
Незначительно Insignificantly
Немедленный Immediate
Необычный Unusual
Неплохо Not bad
Непреклонный Inflexible
Неудачник Loser
Низший Lower
Обвинение Accusation
Обильный Abundant
Облачно Cloudy
Обломки Debris
Обоняние Sense of smell
Обучение Training
Общий Common
Объект Object
Объектив Lens
Обязанности Duty
Одиночество Loneliness
Одуванчик Dandelion
Определение Definition
Опустошённый Devastated
Осада Siege
Освобожден Released
Осознавать Realize
Отверстие Hole
Отвращение Aversion
Откровение Revelation
Отличный Excellent
Отопление Heating
Отряд Detachment
Отскок Rebound
Отставка Resignation
Отстой Sludge
Очаровательный Charming
Панда Panda
Патетический Pathetic
Паук Spider
Пейзаж Landscape
Пейсы Sidelocks
Пенис Penis
Пепел Ash
Перегородка Partition
Передатчик Transmitter
Переживать Experience
Перепись Census
Переулок Lane
Переучиваться Learn again
Персонаж Character
Пикап Pickup
Пилот Pilot
Питаться Feed
Питьевой Potable
Плавный Smooth
Пластырь Plaster
Платок Shawl
Плод Fetus
Плотный Dense
Повернуть Turn
Поводок Leash
Поворачивать Turn
Погон Shoulder strap
Подобный Similar
Подозреваемый Suspect
Подпись Signature
Подросток Teenager
Подчинённый Subordinate
Поздний Late
Поздравление Congratulation
Поиск Search
Политика Policy
Полученный Received
Пользователь User
Порок Defect
Порошок Powder
Порт Port
Поселенец Settler
Пот Sweat
Почетный Honorary
Прабабка Great-grandmother
Праздновать Celebrate
Предположительно Presumably
Предсказуемый Predictable
Представитель Representative
Предчувствие Premonition
Президент President
Претензия Claim
Приветствовать Welcome
Придерживаться Adhere
Придурок Moron
Признак Sign
Признательный Grateful
Призыв Call
Прикрытие Cover
Примерно About
Приправа Seasoning
Приток Inflow
Проблеск Glimpse
Проведение Holding
Программирование Programming
Программист Programmer
Продолговатый Oblong
Проклятый Damned
Просеивать Sift
Просматривать Browse
Просмотр Review
Просторный Spacious
Процент Percent
Прыжок Jump
Пустяк Trifle
Пыхтеть Pant
Радостный Joyful
Разводить Breed
Развратный Dissolute
Раздевать Undress
Раздражительный Irritable
Различаться Differ
Разъезды Traveling
Ракушка Shell
Расползаться Crawl away
Распространённый Common
Расходы Costs
Расчесывать Comb
Расширение Expansion
Ратуша Town hall
Рейд Raid
Рекомендовать Recommend
Ремесло Craft
Рукоятка Handle
Ручной Manual
Сажа Soot
Сварка Welding
Сварливый Grumpy
Свист Whistle
Сдавать Pass
Секрет Secret
Сжатый Compressed
Сироп Syrup
Скребок Scraper
Слишком Too
Слой Layer
Сметана Sour cream
Смирение Humility
Снисходительный Indulgent
Сокрытие Concealment
Сопровождаемый Accompanied
Сорт Grade
Сосать Suck
Сохранение Conservation
Спагетти Spaghetti
Спектакль Performance
Спортзал Gymnasium
Спотыкаться Stumble
Справка Reference
Справляться Cope
Сравнивать Compare
Срочный Urgent
Стойка Stand
Столяр Carpenter
Структура Structure
Стучать Knock
Стыдно Shame
Судак Zander
Судья Judge
Существенно Significantly
Существо Being
Счётчик Counter
Сытый Full
Таракан Cockroach
Таять Melt
Тенистый Shady
Традиция Tradition
Тревожный Alarming
Трель Trill
Трубка Tube
Туловище Trunk
Туфли-лодочки Court shoes
Тёмный Dark
Уведомление Notification
Уверять Assure
Удачный Successful
Удовлетворение Satisfaction
Усердный Hard
Условия Terms
Устаревший Outdated
Устройство Device
Утешение Consolation
Файл File
Фен Hairdryer
Фон Background
Фотокамера Camera
Французский French
Хлебница Breadbox
Хлопья Flakes
Хранение Storage
Цвести Bloom
Целовать Kiss
Цыган Gipsy
Частица Particle
Чек Cheque
Чередование Alternation
Черствый Stale
Чистилище Purgatory
Чудесный Wonderful
Шар Ball
Шланг Hose
Штанга Bar
Экономика Economics
Эмоция Emotion
Энергия Energy
Эскиз Sketch
Янтарь Amber
Ясный Clear
