act to	разыгрывать
date	свидание, встречаться
daunt	пугать, обескураживать
dawn	рассвет
dawn on	осенить
day off	выходной
daze	ошеломить
dazzle	ослепить
dead end	тупик
deaf	глухой
deal	сделка
deal in	заниматься
deal with	иметь дело с
debate	обсуждать, спорить
debris	мусор, обломки, завалы
debt	долг
decade	десятилетие или десяток
decay	распад, упадок, разлагаться
deceased	покойный, усопший
deceive	обманывать
decent	приличный, достойный
deception	обман
decide	решить
decisive	решающий, решительный
deck	палуба, крышка, настил
declare	объявлять
decline	снижаться, снижение
decline	отказаться, отклонить
decorate	украшать
decrease	уменьшать, уменьшение
decree	постановление, декрет, указ
dedicate	посвящать
deduct	вычитать
deed	дело, поступок
deem	считать
deep	глубокий
deer	олень
defeat	поражение, наносить поражение
defence 	защита, защитный
defend	защитить
deficient	недостаточный, неполный
define	определять
definite	определённый
deflect	отклонять, преломлять
deft	ловкий, проворный
defy	пренебрегать, отрицать
degree	степень
degree	градус
deity	божество
delay	задерживать
deliberate	обдуманный, преднамеренный
delicate	тонкий, нежный, хрупкий
delicious	восхитительный
delight	восторг
delinquent	правонарушитель
deliver	доставлять
deliver	рожать
delusion	наваждение, заблуждение
demand	требовать
demand	спрос
demise	кончина, конец
demolish	сносить
den	логово, берлога
denote	обозначать
denounce	осуждать, разоблачать
dense	густой
dent	вмятина
dental	зубной, стоматологический
deny	отрицать
depart	отправляться, отходить
department	отдел
depend	зависеть
dependent	зависимый
depict	изображать, описывать
deplete	истощать
deploy	развёртывать
depot	хранилище, база, склад
depress	угнетать, подавлять
deprive	лишать
depth	глубина
deputy	депутат, представитель
derive	выводить, извлекать
descend	спускаться
descend from	происходить от
describe	описать
desert	бросать, оставлять
desert	пустыня
deserve	заслуживать
designate	обозначать, называть
desire	желание, желать
desk	письменный стол
desktop	настольный
desolate	пустынный, безлюдный
despair	отчаяние, безнадёжность
desperate	отчаянный, безвыходный
despise	презирать
despite	несмотря на
destination	место назначения
destiny	судьба, предназначение
destroy	разрушать
detach	отделить, оторвать
detain	задерживать
detect	обнаружить, выявить
detention	задержание, арест
deter	удерживать
deteriorate	ухудшать
determine	определить
determined	решителен
detriment	ущерб, вред
devastate	опустошать, разорять
develop	развивать, разрабатывать
deviate	отклоняться
devise	придумывать, изобретать
devoid	лишенный
devote	посвятить, уделить
devour	пожирать
dial	набирать номер
diamond	бриллиант обычно алмаз
diary	дневник
dice
dictionary	словарь
die down	утихнуть
differ	отличаться
different	разный, отличающийся
difficulty	трудность
diffuse	рассеивать, распылять
dig 	копать
dig up	откопать
digest	переваривать
digit	цифра
dignity	достоинство
diligent	усердный, старательный
dilute	разбавлять, разводить
dim	тусклый
dimension	измерение, размер
diminish	уменьшаться
dine	обедать
dip	окунать, погружать
dire	страшный, тяжёлый
direct	прямой
direct	направлять
directory	справочник
disable	отключить, нейтрализовать
disabled	инвалид
disappoint	разочаровывать
disaster	бедствие
discard	отбросить, отказаться
discern	различить, распознать
disciple	ученик, последователь
disclose	раскрывать, обнаруживать
discount	скидка
discourage	отговорить, демотивировать
discourse	речь, рассуждение
discover	открыть
discreet	сдержанный
discrepancy	несоответствие, расхождение
discrete	отдельный, разрозненный
discretion	благоразумие, усмотрение
discriminate	различать, разделять
discuss	обсуждать
disdain	пренебрегать, презирать
disease	болезнь
disgrace	бесчестие, позор
disguise	маскировать, маскировка
disgust	отвращение
dish	блюдо
dish	тарелка или миска
disillusion	разочаровывать
dislocate	вывихнуть, сместить
dismantle	разобрать, демонтировать
dismay	испуг, тревога, потрясение
dismiss	отклонить, отбросить
dismiss	прогонять, посылать, увольнять
disorder	беспорядок
disparity	неравенство
dispatch	отправлять, отправка
dispel	развеяться, исчезнуть
dispense	распределять, раздавать
dispense with	обойтись без, избавиться
disperse	рассеиваться
displace	вытеснять, смещать
display	показ, демонстрировать
dispose of	располагать, распоряжаться
dispose of	избавиться
dispute	спор, спорить
disrupt	нарушить, сорвать
dissent	несогласие, не соглашаться
dissipate	рассеивать
dissolve	растворять, растворяться
distant	отдалённый
distinct	чёткий, различимый
distinguish	выделять, отличать
distort	искажать
distract	отвлекать
distress	несчастье, страдание
distribute	распределять
district	район, округ и т. п.
disturb	тревожить
ditch	ров
dive	нырять
diverge	расходиться
diverse	разнообразный
divert	отвлечь, развлечь
divide	делить
divine	божественный
divorce	развод, разводиться
dizzy	головокружительный
do about	сделать
do away with	покончить, избавиться
do up	привести в порядок
do without	обойтись без
dock	причал, док
dodge	уворачиваться, уклоняться, уловка
dole	пособие по безработице
doll	кукла
domain	область, сфера, владение
dome	купол, свод
domestic	домашний
domestic	внутренний
donate	жертвовать, скидываться
donkey	осел
doom	гибель, рок, обречённость и т. д.
doorway	дверной проем
dope	наркотик, дурман
dormitory	общежитие
dot	точка
double	удваивать, двойной
doubt	сомневаться, сомнение
dough	тесто
doughnut	пончик
downtown	центр города
downturn	спад
dozen	дюжина
draft	проект, черновик, набросок
draft	тяга, сквозняк
drag	тащить, волочить
drag on	тянуться долго
drain	слив, водосток
drastic	радикальный, резкий
draw 	тянуть
draw up	составить
drawback	недостаток
drawer	выдвижной ящик
dread	страх, бояться
dream	сон
dream up	придумать
dress	одеваться
dress up	нарядиться
drift	дрейфовать или дрифтовать
drill	сверло, сверлить
drills	тренировка, учение
drip	капля, капать
drive 	двигать, гнать
drive 	водить машину
drive out	выгнать
drizzle	моросить, морось
drop	падать, ронять
drop	капля
drop by	зайти
drop off	завезти, высадить
drop out of	бросить
drought	засуха
drown	тонуть
drug	лекарство или наркотик
drum	барабан, барабанить
dry	сухой, сушить, засуха
dry up	пересохнуть, иссякнуть
dual	парный, двоякий
dub	дублировать
dubious	сомнительный
duckling	утёнок
dude	чувак
due	должный, положенный
due to	из-за, в связи
duke	герцог
dull	скучный, унылый
dumb	тупой
dumb	немой
dummy	манекен, чучело
dump	сваливать, сбрасывать свалка
dump	бросать
duo	дуэт
duplicate	дублировать, дубликат
durable	прочный, долговечный
duration	продолжительность
during	во время
dusk	смеркаться
dust	пыль
duty	обязанность, служба
dwarf	карлик, гном
dwell	обитать, проживать
dwell on	остановиться
dwindle	постепенно уменьшаться
dye	краска, краситель
eager	сильно желающий
early	рано, ранний
earn	зарабатывать
earnest	серьёзный, ревностный
earring	серьга
earth	Земля
earthquake 	землетрясение
ease	лёгкость, облегчать
east	восток
Easter	Пасха
eat out	есть не дома
eat up	съесть полностью
echo	эхо, отголосок, отражаться
eclipse	затмение
edge	край
edible	съедобный
edit	редактировать, монтировать
educate	воспитывать, обучать
efficacy	результативность
efficient	оптимальный, эффективный
effort	усилие, старание
either	либо
either	любой из двух
either	тоже
eject	выталкивать
elaborate	разработать, хорошо проработанный
elbow	локоть
elder	старший
elect	избирать
elevate	поднимать, повышать
elicit	добиться, извлечь
eligible	имеющий право
eliminate	устранять, ликвидировать
elk	лось
eloquent	красноречивый, выразительный
elude	ускользнуть, увернуться
embark on	начать
embarrass	смущать, стеснять
embassy	посольство
embed	встроить, вставить
embody	олицетворять
embrace	обхватить, обнять, обхват
emerge	появляться
emergency	чрезвычайная ситуация
eminent	видный, уважаемый
emit	испускать, издавать
emperor	император
emphasis	акцент, внимание, ударение
empire	империя
employ	использовать
employ	нанимать на работу
empower	давать возможность, право
empty	пустой, опустошать
enable	давать возможность
enact	вводить
enchant	околдовать, очаровать
enclose	окружать, заключать
encompass	охватывать, заключать
encounter	встретиться, столкнуться
encourage	поддерживать, поощрять
end up	заканчивать чем-либо
endanger	подвергать опасности
endeavor 	стремиться, стараться, попытка
endorse	одобрять, поддерживать
endow	наделять, даровать
endure	выдерживать
enforce	внедрить, навязать
engage in	заниматься, вступать, вовлекать
engaged	помолвленный
engender	зарождать, порождать
engine	двигатель или машина
enhance	повысить, усилить, расширить
enlarge	увеличить, расширить
enlighten	просветить
enlist	привлечь
enormous	огромный
enrich	обогащать
enrol , набрать
ensemble	ансамбль
ensue	следовать, вытекать
ensure	обеспечить, гарантировать
entail	влечь за собой, подразумевать
enter	войти
enterprise	предприятие, предпринимательство
entertain	развлекать
entice	соблазнять
entire	весь, целый
entitle	давать право
entitle	давать название
entity	сущность
entrepreneur	предприниматель
envelope	конверт
environment	среда, окружение
envision	воображать
envy	зависть
equal	равный, равняться
equation	уравнение
equip	оснащать, снаряжать
equity	равноправие, справедливость
eradicate	уничтожить, искоренить
erase	стирать
erect	воздвигнуть, соорудить
erode	размывать, выветривать
errand	поручение
error	ошибка
erupt	извергаться
escape	избежать, спастись
essence	сущность
essential	необходимый
establish	установить, учредить
esteem	уважать, почитать, почтение
estimate	примерно оценивать
eternal	вечный
evade	уклоняться
evaluate	дать оценку
evaporate	испаряться
eve	канун
even	ровный
event	событие
eventual	конечный, возможный
ever	когда-либо
evidence	доказательство
evident	очевидный
evil	злой, зло
evoke	вызывать
evolve	развиваться, эволюционировать
exact	точный
exaggerate	преувеличивать
examine	осмотреть, изучить
example	пример
excavate	рыть, выкапывать
exceed	превышать
excel	преуспеть
excellent	превосходный
except	кроме, исключая
excerpt	выдержка, отрывок
excess	избыток, чрезмерный
exchange	обмен
excite	волновать, возбуждать
exclaim	восклицать
exclude	исключать
excuse	повод, предлог, оправдание
execute	исполнить
execute	казнить
exempt	освободить , освобождение
exercise	упражнение, тренироваться
exert	приложить, оказать
exhale	выдыхать
exhaust	исчерпывать, истощать
exhaust	выхлопные газы
exhibit	выставлять, показывать
exile	ссылка, изгнание
exist	существовать
exit	выход, выходить
expand	расширять, распространять
expanse	пространство, простор
expect	ожидать
expel	высылать, изгонять
expenditure	расходы
expense	расходы
experience	опыт
expertise	опыт, компетенция
expire	истекать
explain	объяснять
explicit	явный, откровенный
explode	взрываться
exploit	использовать, эксплуатировать
explore	изучать
expose	выставлять, обнажать
express	выражать
exquisite	утончённый, изысканный
extend	расширять, удлиннять
extent	степень, мера
exterior	внешний, внешняя сторона
external	внешний
extinct	вымерший
extinguish	погасить
extort	вымогать
extra	дополнительный
extract	извлекать
extreme	крайний
exuberant	буйный, энергичный
eyebrow	бровь
eyelid	веко
fable	басня
fabric	ткань, материал
fabulous	невероятный, легендарный
face up to	принять
face with	столкнуться
facet	грань, в т. ч. перен.
facial	лицевой
facilitate	облегчать, способствовать
facility	сооружение, объект
facility	лёгкость, удобство
faction	группировка, фракция
factory	фабрика, завод
faculty	дар, способность
fade	увядать, блекнуть
fail	потерпеть неудачу
failure	неудача, провал
faint	обморок, падать в обморок
faint	слабый, неуловимый
fair	справедливый, честный
fair	светлый
fairly	довольно, вполне
fairy	фея
faith	вера
fall	осень
fall apart	разваливаться
fall asleep	уснуть
fall back on	опереться, прибегнуть
fall for	вестись
fall for	влюбляться
fall in love with	влюбиться
fall out	ссориться
fall over	упасть, перевернуться
fall through	провалиться
false	ложный, неверный
falter	колебаться, дрогнуть
fame	известность, слава
familiar	знакомый
famine	голод
famous	знаменитый
fan	вентилятор
fancy	представлять, полагать
fancy	необычный, причудливый, модный
faraway	далёкий
fare	плата за проезд
farewell	прощальный, прощание
farm	ферма
fascinate	очаровывать
fashion	стиль, образ, манер
fashion	мода
fasten	закрепить
fat	жир, жирный
fate	судьба, участь
fatigue	усталость, утомление
faucet	кран
fault	вина, ошибка
fault	недостаток, неисправность
favor	благоприятствовать
favor 	услуга
fear	страх, бояться
feasible	выполнимый, осуществимый
feast	праздник, пир
feat	подвиг, свершение
feather	перо
feature	черта, особенность
fee	плата
feeble	слабый, немощный
feed 	кормить
feed on	питаться
feedback	обратная связь
feel 	трогать, щупать
feel for	сочувствовать
feel like	хотеть
fellow	парень, человек
fellow	товарищ по чему-либо
felon	преступник, уголовник
female	женский
feminine	женский
fence	забор, огораживать
fend for
fend off	защищаться
ferocious	свирепый
ferry	переправа, паром
fertile	плодородный
fetch	сходить принести
fetus	плод, эмбрион
fever	лихорадка, жар
fibre	волокно
fiction	вымысел, худ.литература
fiddle	скрипка
fidelity	верность
field	поле, область
fierce	свирепый
fight back	отбиваться
fight off	отбить
figure	полагать, думать
figure out	понять, придумать
fill in	заполнить
fill in on	посвятить
fill up	наполнить целиком
film	снимать кино
filth	грязь, гадость
fin	плавник
find out	выяснить
fine	хороший
fine	штраф
fine	тонкий
fingertip	кончик пальца
fir	ель
firefighter	пожарник
fireplace	камин
firework	фейерверк, петарда
firm	твёрдый
fisherman	рыбак
fishing	рыбалка
fist	кулак
fit	приступ, припадок
fit 	подходить, помещаться
fit in with	вписаться
fix	исправить, наладить
fixture	крепление, стойка и т.д.
flair	чутьё, талант
flake	слоиться, крошиться
flakes	хлопья
flame	пламя, пылать
flank	бок, фланг
flap	створка, клапан, хлопать
flare	вспышка, вспыхивать
flash	вспышка, вспыхнуть
flashlight	фонарик
flat	квартира
flat	плоский, ровный
flatter	льстить
flavor	вкус, приправлять
flaw	изъян
flea	блоха
flee 	спасаться бегством
fleet	флот
fleeting	мимолётный, скоротечный
flesh	плоть, мясо
flex	сгибать
flick	короткое резкое движение
flick	фильм
flick through	просмотреть, пролистать
flicker	мерцать
flight	полёт, рейс
flight	бегство
flight attendant	бортпроводник
flinch	дёрнуться, дрогнуть
fling 	швырнуть
flip	переворачивать, перевёрнутый
float	плыть
flock	стадо, стая
flood	потоп, наводнение, наводнять
flood in	наплыть, валить потоком
floor	пол
floor	этаж
flop	провал, неудача
flour	мука
flourish	процветать
flow	поток, течь
flu	грипп
fluctuate	колебаться
fluent	беглый
fluffy	пушистый
fluid	жидкий, текучий
flurry	поток, шквал
flush	промывать, смывать
flush	румянец, порозоветь
flute	флейта
flutter	трепетать, развеваться, порхать
fly	муха
foam	пена
focus	сосредоточить
foe	недруг
fog	туман
foil	расстаривать, разрушать
foil	фольга
fold	сворачивать, складывать
folder	папка
foliage	листва
folk	люди, народ
follow	следовать, следить
folly	глупость, безумие
fond of	любящий
fool	дурак, дурачить
fool around	придуриваться
footage	запись, кадры видео
footing	опора, основа
footprint	след
for real	правда, серьёзно
for sure	наверняка, точно
for the sake of	ради
forbid 	запрещать
forcible	насильственный
forecast	прогноз
forehead	лоб
foreign	иностранный
foreman	мастер, бригадир
foremost	передовой, первоочередной
foresee	предвидеть
forge	ковать
forge	подделывать
forgive 	простить
fork	развилка, раздваиваться
former	бывший
former	первый
formidable	внушительный, грозный
forth	дальше, вперёд
forthcoming	предстоящий
fortify	укреплять, поддерживать
fortunate	удачный
fortune	состояние
fortune	счастье, удача, судьба
fossil	ископаемое
foster	способствовать, питать и т.д.
foster	приёмный
foul	гадкий, скверный, грязный
found	основать, учредить
foundation	фундамент
fountain	фонтан
foyer	фойе
fraction	доля, часть, дробь
fracture	перелом, разрушение
fragile	хрупкий
fragrant	душистый, ароматный
frail	хилый
frame	рамка, каркас и т.п.
framework	каркас, основа, рамки
frank	откровенный
frantic	неистовый, бешеный
fraud	обман, мошенничество
fray	драка, бой, соревнование
frayed	потрёпанный
freak	урод
freak out	пугать
free	свободный или бесплатный
free up	высвободить
freeway	автострада
freeze 	замораживать
freight	грузовой
frenzy	неистовство, безумие
frequent	частый
freshen up	освежить
fret	волновать
friction	трение
friendly	дружелюбный
fright	испуг
frighten off	отпугивать
fringe	край, крайний
frog	лягушка
front	перед, передний
frontier	граница
frost	мороз
frown	хмуриться
fruitless	бесплодный
frustrate	расстраивать
fry	жарить
fuck with	дразнить, шутить, злить
fuel	топливо, заправлять
fugitive	беглец
fulfil	исполнить
fumble	щупать, лапать, мять и т. д.
fume	дым, испарение
fund	фонд, финансировать
funeral	похороны, похоронный
fungus	гриб, грибок
funnel	воронка
fur	мех
furnace	печь
furnish	предоставлять
furnish	обставлять, меблировать
furniture	мебель
further	дальнейший, далее
fury	ярость, бешенство
fuse	плавиться, сливаться
fuss	суетиться
futile	тщетный, напрасный
future	будущий, будущее
fuzzy	пушистый, ворсистый
gain	получать, выигрывать
gait	походка
gala	праздник, торжество
gamble	азартная игра, играть
gang	банда, шайка
gap	разрыв, пробел
garbage	мусор
garden	сад
garlic	чеснок
garment	предмет одежды
garnish	гарнир, украшение
gas	бензин
gasp	задыхаться, ловить воздух
gates	ворота
gather	собирать
gauge	измерить, изм. прибор
gaze	пристально глядеть
gear	механизм, привод, передача
geared to	направлен на
gem	драгоценный камень
gender	пол
gene	ген
general	общий
generation	поколение
generous	великодушный, щедрый
gentle	мягкий, тихий, нежный и т. д.
genuine	подлинный, настоящий
germ	микроб или зародыш
gesture	жест, жестикулировать
get	становиться
get about	передвигаться
get ahead	преуспевать, продвигаться
get ahead of	обогнать
get along	ладить
get at	клонить, намекать
get away with	безнаказанно сделать
get back at	отомстить
get by	обойтись, протянуть
get down	приступить
get in	прибывать
get lost	пропасть
get off	выходить
get off with	отделаться чем-либо
get on	быть, делать
get out of	избежать, отмазаться
get over	пережить, принять
get rid of	избавиться от
get stuck	застрять
get through	дозвониться
get together	собираться
get used to	привыкнуть
ghost	привидение
giant	гигантский
gift	подарок
giggle	хихикать, хихиканье
give a ride	подвезти
give away	раздавать, дарить
give away	выдать
give birth to	родить
give off	издавать, испускать
give out	раздать, выдать
give up	бросить
give up	отказаться, сдаться
glacier	ледник
glamour	очарование, привлекательность
glance	взгляд
glare	яркий свет, ослеплять
glass	стекло или стакан
glasses	очки
glaze	глазурь, глянец
gleam	блеск, отблеск
glee	ликование
glide	скользить, планировать
glimpse	вид
glint	вспыхнуть, сверкнуть
glitter	блеск, блестеть, сверкать
globe	мир, земной шар
gloom	сумрак, уныние
glory	слава, сияние
gloss	глянец, лоск
glove	перчатка
glow	сияние, свечение
glue	клей, клеить
gnaw on	грызть, обгладывать
go about	заниматься
go against	противоречить
go ahead	взять
go along	поддерживать, соглашаться
go down	быть принятым
go for	идти на что-то
go for	выбирать, предпочитать
go for	быть проданным за
go into	вдаваться
go off	сработать
go off	отключиться
go on	происходить
go on	продолжаться
go out	погаснуть
go over	просмотреть, изучить
go together	сочетаться
go under	разориться
goal	цель
goat	козел, коза
goddess	богиня
goods	товары
goof	балбес, придурок
gorgeous	шикарный
gospel	евангелие
gossip	слухи
govern	управлять
gown	платье
grab	схватить, нахапать и т.д.
grace	благодать, милость
grade	класс, уровень
grade	оценка
gradual	постепенный
graduate	выпускник, выпускаться
grain	зерно, крупица
grand	большой, великий
grant	давать, дарить
grape	виноград
graph	график
grapple	сцепиться, бороться
grasp	схватывать
grate	решетка
grateful	благодарный
gratify	удовлетворять, радовать
gratitude	благодарность
grave	серьёзный
grave	могила
gravel	гравий
gravy	подливка, соус
graze	пасти
grease	смазка, жир
greed	жадность
greenhouse	теплица, оранжерея
greet	приветствовать
grid	сетка, решётка
grief	горе
grievance	обида
grieve	горевать
grim	мрачный, зловещий
grin	ухмыляться, ухмылка, оскал
grind 	молоть, измельчать
grip	хватать, захват, хватка
grit	крошка, песок, гравий
grit	твёрдость, стойкость
groan	стон, стонать
grocery	продуктовый
groom	жених
groove	канавка, желоб
grope	щупать, искать вслепую
gross	грубый
gross	валовой, грязный
grove	лесок
grow 	расти или выращивать
grow 	становиться
grow up	вырастать
growl	рычать
grudge	обида, злоба
grumble	ворчать, жаловаться
grunt	хрюкать
guard	сторожить, стража
guess	угадывать, догадываться
guest	гость
guide	вести, направлять
guideline	общее правило, принцип
guilt	вина
guise	облик, личина
gulf	разрыв, пропасть
gulf	залив
gulp	большой глоток, заглатывать
gum	жвачка
gun	огнестрельное оружие
gust	порыв
gut	кишка
gutter	желоб, сток
gym	спортзал
Gypsy	цыган, цыганский
habit	привычка, обычай
habitat	среда, место обитания
hack	рубить, кромсать
hail	приветствовать
hail	град
hail	окликнуть, привлечь внимание
haircut	стрижка, причёска
hall	зал, вестибюль
hallmark	характерная черта
halt	останавливаться
halve	делить пополам
ham	ветчина
hammer	молоток
hamper	затруднять, ограничивать
hand down	передать
hand in	сдать
hand over	передать
handbook	руководство, справочник
handcuffs	наручники
handful	горсть
handicap	помеха, недостаток
handkerchief	носовой платок
handle	рукоятка
handle	управляться, обращаться
handsome	красивый
handwriting	почерк
handy	удобный
hang 	висеть, вешать
hang around	зависать, слоняться
hang out	тусоваться где-то
hangover	похмелье
happen	случиться, происходить
harass	тревожить, изводить
harbor 	гавань, порт
hardly	едва
hardware	аппаратные средства
hardy	выносливый
harm	вред, вредить
harness	запрягать, обуздывать
harp	арфа
harsh	резкий, суровый, грубый
harvest	урожай, собирать урожай
hassle	трудность, неудобство
haste	спешка
hat	шляпа
hatch	люк
hatred	ненависть
haul	тащить, тянуть, буксировать
haunt	являться, преследовать
hawk	ястреб
hay	сено
hazard	опасность, риск, угроза
haze	дымка, туман
head for	направляться
head off	выйти, отправиться
headlight	передняя фара
headline	заголовок
headquarters	штаб-квартира
heal	лечить, заживать
health	здоровье
healthcare	здравоохранение
heap	куча
heat	тепло, нагревать
heat up	разогреть
heave	вздыматься
heaven	небеса
hebrew	еврейский
hedge	живая изгородь
heed	прислушиваться, учитывать
heel	каблук, пятка
hefty	большой и тяжёлый
height	высота, рост
heir	наследник
helicopter	вертолёт
helm	руль, штурвал
helmet 	шлем
help out	выручить
helpful	полезный
helpless	беспомощный
hemisphere	полушарие
hen	курица
hence	отсюда
herald	возвестить, вестник
herb	трава
herd	стадо, пасти
heritage	наследие
hero	герой
hesitate	колебаться, медлить
hide 	скрывать
hideous	отвратительный, ужасный
hierarchy	иерархия
high-end	высококлассный, лидирующий
highlight	выделить, подсветить
highway	шоссе
hijack	угонять
hike	поход, ходить в поход
hilarious	веселый, забавный, смешной
hill	холм
hinder	мешать, затруднять
hinge	петля, шарнир
hint	намёк, намекать
hip	таз, поясница
hire	нанимать
hiss	шипеть
hit 	ударить, удар
hit 	попасть, достичь
hit back	отыграться, отбиться
hitch	заминка, помеха
hoard	копить, накопление, клад
hobble	прихрамывать
hog	большой свин, боров
hoist	поднимать
hold back	сдерживать
hold on	держаться
hold on	оставаться на линии
hold up	задержать, затормозить
hole	дыра
holler	крикнуть, окликнуть
hollow	полый
holy	святой, священный
homeland	родина
homicide	убийство
honest	честный
honey	мёд
honor 	честь, чтить
hood	капот, кожух
hood	капюшон
hoof	копыто
hook	крюк, зацеплять
hook up	подключить, смонтировать
hoop	обруч, обод
hop	прыгать, скакать
hopeful	внушающий надежды
horizon	горизонт, кругозор
horn	рог
horrible	ужасный, отвратительный
horrify	ужасать
horseback	верхом
hose	шланг
hospitality	гостеприимство
host	хозяин, быть хозяином
host	множество
hostage	заложник
hostile	враждебный, неприязненный
hound	охотничья собака, об. гончая
household	домашний, домохозяйство
housewife	домохозяйка
hover	зависнуть, парить
however	однако
howl	выть
huddle	столпиться, скучиться
hue	цвет, оттенок
hug	объятие, обнимать
huge	огромный
hull	корпус, оболочка
hum	гудеть, жужжать
human	человек, человеческий
humble	скромный, смиренный
humid	влажный
humiliate	унижать
hump	горб
hunch	догадка, предчуствие
hunch	горб, горбиться
hunger	голод
hunk	ломоть, лакомый кусок
hurdle	препятствие
hurl	метать, бросать с силой
hurricane	ураган
hurry	спешить, торопиться
hurt 	причинять боль или болеть
hush	молчать
hustle	толкаться, торопиться
hustle	нечестно добыть
hut	хижина, лачуга, барак
hydrogen	водород
hypocrite	лицемер
ID	удостоверение личности
idle	праздный, бездействующий
ignite	воспламеняться
ignorant	невежественный
ill	больной
ill	дурной, нехороший
illicit	незаконный, запрещённый
illuminate	освещать
image	изображение, образ
imagine	вообразить
immediate	немедленный, непосредственный
immense	огромный
immerse	погружаться
imminent	неизбежный
impact	воздействие, удар
impair	ухудшать, ослаблять и т.д.
impede	затруднять
impending	предстоящий, грозящий
imperative	обязательный, необходимый
implement	осуществлять
implicate	указать на причастность
implicit	подразумеваемый, неявный
imply	подразумевать
importance	важность
impose	навязывать, налагать
imposing	внушительный, импозантный
impress	впечатлить
imprint	отпечаток, отпечатывать
improve	улучшить
in a row	подряд
in advance	заранее
in charge	во главе
in spite of	несмотря на
incentive	стимул, мотив
inch	дюйм
incidence	частотность, распространённость
incline	наклонять, склонять
include	включать, содержать в себе
income	доход
incoming	входящий
incorporate	вобрать, соединить
increase	увеличивать, увеличение
incredible	невероятный
incumbent	возложенный
incur	навлечь, повлечь
indeed	в самом деле
indicate	указывать, означать
indifferent	безразличный
indigenous	коренной, местный
induce	вызывать, побуждать
indulge	баловать, потворствовать
industry	отрасль
inevitable	неизбежный
inexplicable	необъяснимый
infamous	печально известный, постыдный
infant	ребёнок
infantry	пехота
infect	заражать
infer	делать вывод
inferior	низший
infinite	бесконечный
inflame	разжигать
inflate	надувать
inflict	причинять, наносить
influence	влиять, влияние
infuse	вливать, настаивать
ingenious	изобретательный
inhabit	населять, обитать в
inhale	вдыхать
inherent	свойственный, присущий
inherit	унаследовать, перенять
inhibit	препятствовать, затруднять
initial	первоначальный
inject	впрыскивать, вкачивать
injure	ранить, наносить ущерб
ink	чернила
inland	внутренний, вглубь страны
inmate	обитатель
inn	гостиница
inner	внутренний
innocent	невинный, невиновный
input	вход, ввод
inquire	узнавать, интересоваться
insect	насекомое
insert	вставить
inside	внутри
inside out	наизнанку
insight	понимание, догадка
insist	настаивать
inspect	проверять, осматривать
inspire	вдохновить, внушить
install	устанавливать
instance	пример, экземпляр
instant	мгновенние, мгновенный
instead	вместо
insulate	изолировать, оградить
insult	оскорбление, оскорблять
insure	страховать, гарантировать
insurgent	повстанец, мятежник
intact	неповрежденный
intake	потребление, приём
integral	составной, неотъемлемый
integrity	целостность
integrity	честность, порядочность
intelligence	разведка
intelligent	умный
intelligible	вразумительный, понятный
intend	намереваться
intended	предназначенный
interact	взаимодействовать
intercept	перехватить, перехватить
intercourse	отношения или пол. сношение
interfere	вмешиваться, мешать
interim	промежуточный, временный
interior	внутренность, внутренний
intermediate	промежуточный
intern	стажёр
internal	внутренний
interpret	истолковывать
interpreter	переводчик
interrogate	допрашивать
interrupt	прерывать, перебивать
intersect	пересекаться
intervene	вмешиваться
intestine	кишечник
intimate	близкий
intimidate	запугивать
intricate	сложный, запутанный
intrinsic	присущий, внутренний
introduce	представить, познакомить
introduce	ввести
intrude on	вторгаться, вмешиваться
invade	вторгаться
invent	изобретать
inventory	опись, учёт
invert	переворачивать, опрокидывать
investigate	расследовать
invite	приглашать
invoke	взывать, призывать
involve	содержать в себе
involve	вовлекать, увлекать
inward	внутрь
iron	железо, железный
iron	утюг, гладить
irritate	раздражать
island	остров
issue	вопрос, проблема
issue	издать, выпустить, выпуск
itch	зуд
item	пункт, номер, предмет
ivory	слоновая кость
ivy	плющ
jab	ударять, пихать
jacket	куртка, пиджак
jail	тюрьма
jar	банка, кувшин и т. д.
jaw	челюсть
jealous	ревнивый
jelly	желе
jeopardy	опасность
jerk	дёргать, резкое движение
jerk	придурок
jet	реактивный двигатель/самолёт
jet	струя
Jew	еврей
jewel	драгоценности
jingle	звенеть, звон
jog	бегать трусцой
join	присоединить
joint	совместный, объединённый
joint	сустав, шарнир, стык и т. д.
jolly	веселый
jolt	толчок, встряска
journalism	журналистика
journey	путешествие
joy	радость
judge	судья, судить
judicial	судебная
jug	кувшин
jumble	перемешивать
jump at	ухватиться
jump in	вмешаться
jumper	джемпер
junction	стык, узел, пересечение
junior	младший
junk	барахло, хлам
junkie	наркоман
jury	жюри или присяжные
just	справедливый, беспристрастный
justice	правосудие, справедливость
justify	оправдывать, обосновывать
